season_id,field_id,timestamp,crop,growth_stage,soil_moisture,nitrogen_index,weed_pressure,pest_pressure,disease_pressure,operation,spray_target,next_crop,next_growth_stage,next_soil_moisture,next_nitrogen_index,next_weed_pressure,next_pest_pressure,next_disease_pressure,actual_yield_t_ha
2025_F2,F2,2025-04-12 07:00,,fallow,0.277,0.337,0.235,0.135,0.106,plant,,canola,planted,0.277,0.337,0.235,0.135,0.106,
2025_F2,F2,2025-04-30 07:00,canola,planted,0.243,0.322,0.247,0.162,0.127,fertilise,,canola,vegetative,0.243,0.772,0.247,0.162,0.127,
2025_F2,F2,2025-05-20 07:00,canola,vegetative,0.204,0.675,0.269,0.17,0.145,irrigate,,canola,vegetative,0.484,0.675,0.269,0.17,0.145,
2025_F2,F2,2025-06-09 07:00,canola,vegetative,0.281,0.667,0.284,0.184,0.151,spray,weed,canola,vegetative,0.281,0.667,0.006,0.184,0.151,
2025_F2,F2,2025-06-21 07:00,canola,vegetative,0.261,0.66,0.049,0.19,0.173,irrigate,,canola,vegetative,0.541,0.66,0.049,0.19,0.173,
2025_F2,F2,2025-07-03 07:00,canola,vegetative,0.369,0.651,0.069,0.204,0.18,spray,pest,canola,flowering,0.369,0.651,0.069,0.004,0.18,
2025_F2,F2,2025-08-02 07:00,canola,flowering,0.324,0.639,0.094,0.044,0.187,spray,disease,canola,mature,0.324,0.639,0.094,0.044,0.004,
2025_F2,F2,2025-09-09 07:00,canola,mature,0.324,0.639,0.094,0.044,0.023,harvest,,,fallow,0.324,0.639,0.094,0.044,0.023,4.45
2024_F3,F3,2024-04-13 07:00,,fallow,0.323,0.296,0.142,0.156,0.107,plant,,barley,planted,0.323,0.296,0.142,0.156,0.107,
2024_F3,F3,2024-05-01 07:00,barley,planted,0.304,0.283,0.153,0.174,0.132,fertilise,,barley,vegetative,0.304,0.363,0.153,0.174,0.132,
2024_F3,F3,2024-05-23 07:00,barley,vegetative,0.268,0.636,0.174,0.183,0.152,spray,weed,barley,vegetative,0.268,0.636,0.131,0.183,0.152,
2024_F3,F3,2024-06-22 07:00,barley,vegetative,0.23,0.626,0.046,0.208,0.177,spray,pest,barley,flowering,0.23,0.626,0.046,0.156,0.177,
2024_F3,F3,2024-07-14 07:00,barley,flowering,0.191,0.609,0.078,0.049,0.192,fertilise,,barley,flowering,0.191,0.689,0.078,0.049,0.192,
2024_F3,F3,2024-08-03 07:00,barley,flowering,0.175,0.9,0.096,0.06,0.211,spray,disease,barley,mature,0.175,0.9,0.096,0.06,0.158,
2024_F3,F3,2024-09-10 07:00,barley,mature,0.175,0.9,0.096,0.06,0.041,harvest,,,fallow,0.175,0.9,0.096,0.06,0.041,3.10
2025_F3,F3,2025-04-13 07:00,,fallow,0.334,0.379,0.236,0.109,0.085,plant,,barley,planted,0.334,0.379,0.236,0.109,0.085,
2025_F3,F3,2025-05-01 07:00,barley,planted,0.312,0.371,0.252,0.13,0.108,fertilise,,barley,vegetative,0.312,0.451,0.252,0.13,0.108,
2025_F3,F3,2025-05-23 07:00,barley,vegetative,0.283,0.715,0.286,0.137,0.126,spray,weed,barley,vegetative,0.283,0.715,0.214,0.137,0.126,
2025_F3,F3,2025-06-22 07:00,barley,vegetative,0.245,0.699,0.084,0.146,0.147,spray,pest,barley,flowering,0.245,0.699,0.084,0.109,0.147,
2025_F3,F3,2025-07-14 07:00,barley,flowering,0.206,0.679,0.106,0.033,0.171,fertilise,,barley,flowering,0.206,0.759,0.106,0.033,0.171,
2025_F3,F3,2025-08-03 07:00,barley,flowering,0.186,0.993,0.121,0.061,0.192,spray,disease,barley,mature,0.186,0.993,0.121,0.061,0.144,
2025_F3,F3,2025-09-10 07:00,barley,mature,0.186,0.993,0.121,0.061,0.019,harvest,,,fallow,0.186,0.993,0.121,0.061,0.019,2.95
2024_F4,F4,2024-04-14 07:00,,fallow,0.338,0.346,0.175,0.124,0.079,plant,,wheat,planted,0.338,0.346,0.175,0.124,0.079,
2024_F4,F4,2024-05-02 07:00,wheat,planted,0.323,0.326,0.204,0.142,0.103,fertilise,,wheat,vegetative,0.323,0.926,0.204,0.142,0.103,
2024_F4,F4,2024-05-24 07:00,wheat,vegetative,0.282,0.615,0.22,0.153,0.114,spray,weed,wheat,vegetative,0.282,0.615,0.18,0.153,0.114,
2024_F4,F4,2024-06-23 07:00,wheat,vegetative,0.249,0.606,0.051,0.161,0.137,spray,pest,wheat,flowering,0.249,0.606,0.051,0.132,0.137,
2024_F4,F4,2024-07-15 07:00,wheat,flowering,0.22,0.592,0.088,0.036,0.16,fertilise,,wheat,flowering,0.22,1,0.088,0.036,0.16,
2024_F4,F4,2024-08-04 07:00,wheat,flowering,0.189,0.894,0.099,0.052,0.169,spray,disease,wheat,mature,0.189,0.894,0.099,0.052,0.139,
2024_F4,F4,2024-09-11 07:00,wheat,mature,0.189,0.894,0.099,0.052,0.014,harvest,,,fallow,0.189,0.894,0.099,0.052,0.014,3.35
2025_F4,F4,2025-04-14 07:00,,fallow,0.257,0.327,0.213,0.125,0.093,plant,,wheat,planted,0.257,0.327,0.213,0.125,0.093,
2025_F4,F4,2025-05-02 07:00,wheat,planted,0.226,0.314,0.247,0.133,0.109,fertilise,,wheat,vegetative,0.226,0.914,0.247,0.133,0.109,
2025_F4,F4,2025-05-24 07:00,wheat,vegetative,0.203,0.579,0.272,0.152,0.129,spray,weed,wheat,vegetative,0.203,0.579,0.223,0.152,0.129,
2025_F4,F4,2025-06-23 07:00,wheat,vegetative,0.175,0.565,0.082,0.17,0.148,spray,pest,wheat,flowering,0.175,0.565,0.082,0.139,0.148,
2025_F4,F4,2025-07-15 07:00,wheat,flowering,0.144,0.553,0.12,0.045,0.171,fertilise,,wheat,flowering,0.144,1,0.12,0.045,0.171,
2025_F4,F4,2025-08-04 07:00,wheat,flowering,0.121,0.912,0.158,0.071,0.179,spray,disease,wheat,mature,0.121,0.912,0.158,0.071,0.147,
2025_F4,F4,2025-09-11 07:00,wheat,mature,0.121,0.912,0.158,0.071,0.017,harvest,,,fallow,0.121,0.912,0.158,0.071,0.017,3.10
2024_F5,F5,2024-09-10 07:00,,fallow,0.247,0.304,0.147,0.134,0.125,plant,,maize,planted,0.247,0.304,0.147,0.134,0.125,
2024_F5,F5,2024-09-28 07:00,maize,planted,0.205,0.297,0.178,0.156,0.133,fertilise,,maize,vegetative,0.205,0.797,0.178,0.156,0.133,
2024_F5,F5,2024-10-18 07:00,maize,vegetative,0.161,0.654,0.217,0.171,0.148,irrigate,,maize,vegetative,0.511,0.654,0.217,0.171,0.148,
2024_F5,F5,2024-11-07 07:00,maize,vegetative,0.27,0.647,0.24,0.189,0.16,spray,weed,maize,vegetative,0.27,0.647,0.007,0.189,0.16,
2024_F5,F5,2024-12-01 07:00,maize,vegetative,0.245,0.631,0.041,0.208,0.174,spray,pest,maize,flowering,0.245,0.631,0.041,0.006,0.174,
2024_F5,F5,2024-12-31 07:00,maize,flowering,0.22,0.617,0.066,0.024,0.199,spray,disease,maize,mature,0.22,0.617,0.066,0.024,0.006,
2024_F5,F5,2025-02-07 07:00,maize,mature,0.22,0.617,0.066,0.024,0.035,harvest,,,fallow,0.22,0.617,0.066,0.024,0.035,8.10
2025_F5,F5,2025-09-10 07:00,,fallow,0.25,0.307,0.144,0.142,0.089,plant,,maize,planted,0.25,0.307,0.144,0.142,0.089,
2025_F5,F5,2025-09-28 07:00,maize,planted,0.231,0.296,0.181,0.167,0.099,fertilise,,maize,vegetative,0.231,0.796,0.181,0.167,0.099,
2025_F5,F5,2025-10-18 07:00,maize,vegetative,0.188,0.551,0.212,0.174,0.105,irrigate,,maize,vegetative,0.538,0.551,0.212,0.174,0.105,
2025_F5,F5,2025-11-07 07:00,maize,vegetative,0.291,0.545,0.25,0.195,0.126,spray,weed,maize,vegetative,0.291,0.545,0.007,0.195,0.126,
2025_F5,F5,2025-11-19 07:00,maize,vegetative,0.25,0.539,0.064,0.211,0.138,irrigate,,maize,vegetative,0.6,0.539,0.064,0.211,0.138,
2025_F5,F5,2025-12-01 07:00,maize,vegetative,0.33,0.53,0.078,0.229,0.148,spray,pest,maize,flowering,0.33,0.53,0.078,0.007,0.148,
2025_F5,F5,2025-12-31 07:00,maize,flowering,0.31,0.524,0.094,0.034,0.159,spray,disease,maize,mature,0.31,0.524,0.094,0.034,0.005,
2025_F5,F5,2026-02-07 07:00,maize,mature,0.31,0.524,0.094,0.034,0.027,harvest,,,fallow,0.31,0.524,0.094,0.034,0.027,8.45
2024_F6,F6,2024-04-11 07:00,,fallow,0.29,0.298,0.175,0.081,0.088,plant,,canola,planted,0.29,0.298,0.175,0.081,0.088,
2024_F6,F6,2024-04-29 07:00,canola,planted,0.275,0.282,0.202,0.091,0.102,fertilise,,canola,vegetative,0.275,0.402,0.202,0.091,0.102,
2024_F6,F6,2024-05-19 07:00,canola,vegetative,0.257,0.637,0.225,0.108,0.124,irrigate,,canola,vegetative,0.282,0.637,0.225,0.108,0.124,
2024_F6,F6,2024-06-08 07:00,canola,vegetative,0.341,0.622,0.264,0.122,0.146,spray,weed,canola,vegetative,0.341,0.622,0.172,0.122,0.146,
2024_F6,F6,2024-07-02 07:00,canola,vegetative,0.307,0.611,0.069,0.128,0.154,spray,pest,canola,flowering,0.307,0.611,0.069,0.083,0.154,
2024_F6,F6,2024-08-01 07:00,canola,flowering,0.27,0.602,0.084,0.018,0.176,spray,disease,canola,mature,0.27,0.602,0.084,0.018,0.114,
2024_F6,F6,2024-09-08 07:00,canola,mature,0.27,0.602,0.084,0.018,0.032,harvest,,,fallow,0.27,0.602,0.084,0.018,0.032,1.95
2025_F6,F6,2025-04-11 07:00,,fallow,0.268,0.304,0.169,0.117,0.081,plant,,canola,planted,0.268,0.304,0.169,0.117,0.081,
2025_F6,F6,2025-04-29 07:00,canola,planted,0.24,0.295,0.208,0.146,0.097,fertilise,,canola,vegetative,0.24,0.415,0.208,0.146,0.097,
2025_F6,F6,2025-05-19 07:00,canola,vegetative,0.196,0.567,0.229,0.151,0.11,irrigate,,canola,vegetative,0.221,0.567,0.229,0.151,0.11,
2025_F6,F6,2025-06-08 07:00,canola,vegetative,0.284,0.559,0.254,0.156,0.12,spray,weed,canola,vegetative,0.284,0.559,0.165,0.156,0.12,
2025_F6,F6,2025-07-02 07:00,canola,vegetative,0.257,0.553,0.039,0.169,0.13,spray,pest,canola,flowering,0.257,0.553,0.039,0.11,0.13,
2025_F6,F6,2025-08-01 07:00,canola,flowering,0.226,0.537,0.069,0.048,0.153,spray,disease,canola,mature,0.226,0.537,0.069,0.048,0.099,
2025_F6,F6,2025-09-08 07:00,canola,mature,0.226,0.537,0.069,0.048,0.019,harvest,,,fallow,0.226,0.537,0.069,0.048,0.019,2.05
2024_F7,F7,2024-04-12 07:00,,fallow,0.338,0.295,0.212,0.131,0.073,plant,,wheat,planted,0.338,0.295,0.212,0.131,0.073,
2024_F7,F7,2024-04-30 07:00,wheat,planted,0.298,0.277,0.241,0.154,0.094,fertilise,,wheat,vegetative,0.298,0.527,0.241,0.154,0.094,
2024_F7,F7,2024-05-22 07:00,wheat,vegetative,0.267,0.532,0.276,0.179,0.116,spray,weed,wheat,vegetative,0.267,0.532,0.011,0.179,0.116,
2024_F7,F7,2024-06-21 07:00,wheat,vegetative,0.225,0.517,0.078,0.19,0.122,spray,pest,wheat,flowering,0.225,0.517,0.078,0.008,0.122,
2024_F7,F7,2024-07-13 07:00,wheat,flowering,0.199,0.51,0.113,0.037,0.14,fertilise,,wheat,flowering,0.199,0.76,0.113,0.037,0.14,
2024_F7,F7,2024-08-02 07:00,wheat,flowering,0.164,0.829,0.123,0.062,0.16,spray,disease,wheat,mature,0.164,0.829,0.123,0.062,0.006,
2024_F7,F7,2024-09-09 07:00,wheat,mature,0.164,0.829,0.123,0.062,0.022,harvest,,,fallow,0.164,0.829,0.123,0.062,0.022,5.75
2025_F7,F7,2025-04-12 07:00,,fallow,0.306,0.287,0.214,0.1,0.075,plant,,wheat,planted,0.306,0.287,0.214,0.1,0.075,
2025_F7,F7,2025-04-30 07:00,wheat,planted,0.283,0.271,0.23,0.123,0.1,fertilise,,wheat,vegetative,0.283,0.521,0.23,0.123,0.1,
2025_F7,F7,2025-05-22 07:00,wheat,vegetative,0.257,0.573,0.261,0.147,0.117,spray,weed,wheat,vegetative,0.257,0.573,0.01,0.147,0.117,
2025_F7,F7,2025-06-21 07:00,wheat,vegetative,0.24,0.566,0.064,0.171,0.128,spray,pest,wheat,flowering,0.24,0.566,0.064,0.007,0.128,
2025_F7,F7,2025-07-13 07:00,wheat,flowering,0.225,0.56,0.082,0.047,0.147,fertilise,,wheat,flowering,0.225,0.81,0.082,0.047,0.147,
2025_F7,F7,2025-08-02 07:00,wheat,flowering,0.201,0.885,0.106,0.064,0.154,spray,disease,wheat,mature,0.201,0.885,0.106,0.064,0.006,
2025_F7,F7,2025-09-09 07:00,wheat,mature,0.201,0.885,0.106,0.064,0.029,harvest,,,fallow,0.201,0.885,0.106,0.064,0.029,6.00
